Event,Latitude,Longitude,Depth sed,Symbiosis,Spine,Elevation,total,Relative Abundance
RC08-18,-24.07,-15.12,0.2,symbiont-bearing,spinose,-11931,300.29999999999995,0.109
RC08-18,-24.07,-15.12,0.2,symbiont-facultative,non-spinose,-15908,400.3999999999999,0.12799999999999997
RC08-18,-24.07,-15.12,0.2,symbiont-obligate,spinose,-27839,700.6999999999999,0.5409999999999999
RC08-18,-24.07,-15.12,0.2,undetermined,non-spinose,-3977,100.09999999999998,0
RC08-39,-42.88,42.35,0.9,symbiont-barren,non-spinose,-30310,700.7,0.735
RC08-39,-42.88,42.35,0.9,symbiont-barren,spinose,-12990,300.3,0.21899999999999997
RC08-39,-42.88,42.35,0.9,symbiont-bearing,spinose,-12990,300.3,0
RC08-39,-42.88,42.35,0.9,symbiont-facultative,non-spinose,-17320,400.40000000000003,0.047
RC08-39,-42.88,42.35,0.9,symbiont-obligate,spinose,-30310,700.7,0
RC08-39,-42.88,42.35,0.9,undetermined,non-spinose,-4330,100.10000000000001,0
RC08-94,-17.28,-35.983,0.16,symbiont-barren,non-spinose,-28147,700,0.281
RC08-94,-17.28,-35.983,0.16,symbiont-barren,spinose,-12063,300,0.036000000000000004
RC08-94,-17.28,-35.983,0.16,symbiont-bearing,spinose,-12063,300,0.07600000000000001
RC08-94,-17.28,-35.983,0.16,symbiont-facultative,non-spinose,-16084,400,0.01
RC08-94,-17.28,-35.983,0.16,symbiont-obligate,spinose,-28147,700,0.5950000000000001
RC08-94,-17.28,-35.983,0.16,undetermined,non-spinose,-4021,100,0.002
RC09-124,-28.75,172.6,0.4,symbiont-barren,non-spinose,-17780,700.6999999999999,0.27
RC09-124,-28.75,172.6,0.4,symbiont-barren,spinose,-7620,300.29999999999995,0.126
RC09-124,-28.75,172.6,0.4,symbiont-bearing,spinose,-7620,300.29999999999995,0.01
RC09-124,-28.75,172.6,0.4,symbiont-facultative,non-spinose,-10160,400.3999999999999,0.19300000000000003
RC09-124,-28.75,172.6,0.4,symbiont-obligate,spinose,-17780,700.6999999999999,0.402
RC09-124,-28.75,172.6,0.4,undetermined,non-spinose,-2540,100.09999999999998,0
RC09-126,-33.23,168.73,0.3,symbiont-barren,non-spinose,-14420,698.6000000000001,0.308
RC09-126,-33.23,168.73,0.3,symbiont-barren,spinose,-6180,299.40000000000003,0.197
RC09-126,-33.23,168.73,0.3,symbiont-bearing,spinose,-6180,299.40000000000003,0.003
RC09-126,-33.23,168.73,0.3,symbiont-facultative,non-spinose,-8240,399.20000000000005,0.29000000000000004
RC09-126,-33.23,168.73,0.3,symbiont-obligate,spinose,-14420,698.6000000000001,0.2
RC09-126,-33.23,168.73,0.3,undetermined,non-spinose,-2060,99.80000000000001,0
RC09-150,-31.28,114.55,0.6,symbiont-barren,non-spinose,-18921,700.0000000000001,0.259
RC09-150,-31.28,114.55,0.6,symbiont-barren,spinose,-8109,300.00000000000006,0.091
RC09-150,-31.28,114.55,0.6,symbiont-bearing,spinose,-8109,300.00000000000006,0.04700000000000001
RC09-150,-31.28,114.55,0.6,symbiont-facultative,non-spinose,-10812,400.00000000000006,0.4110000000000001
RC09-150,-31.28,114.55,0.6,symbiont-obligate,spinose,-18921,700.0000000000001,0.192
RC09-150,-31.28,114.55,0.6,undetermined,non-spinose,-2703,100.00000000000001,0
RC09-161,19.567,59.6,1.8,symbiont-barren,non-spinose,-23324,699.9999999999999,0.23099999999999998
RC09-161,19.567,59.6,1.8,symbiont-barren,spinose,-9996,299.99999999999994,0.238
RC09-161,19.567,59.6,1.8,symbiont-bearing,spinose,-9996,299.99999999999994,0.046
RC09-161,19.567,59.6,1.8,symbiont-facultative,non-spinose,-13328,399.99999999999994,0.084
RC09-161,19.567,59.6,1.8,symbiont-obligate,spinose,-23324,699.9999999999999,0.401
RC09-161,19.567,59.6,1.8,undetermined,non-spinose,-3332,99.99999999999999,0
RC09-162,19.083,60.417,0.5,symbiont-barren,non-spinose,-21644,699.3,0.178
RC09-162,19.083,60.417,0.5,symbiont-barren,spinose,-9276,299.70000000000005,0.24600000000000002
RC09-162,19.083,60.417,0.5,symbiont-bearing,spinose,-9276,299.70000000000005,0.032
RC09-162,19.083,60.417,0.5,symbiont-facultative,non-spinose,-12368,399.6,0.192
RC09-162,19.083,60.417,0.5,symbiont-obligate,spinose,-21644,699.3,0.351
RC09-162,19.083,60.417,0.5,undetermined,non-spinose,-3092,99.9,0
RC09-225,54.983,-15.4,1.35,symbiont-barren,non-spinose,-16338,700,0.985
RC09-225,54.983,-15.4,1.35,symbiont-barren,spinose,-7002,300,0.015
RC09-225,54.983,-15.4,1.35,symbiont-bearing,spinose,-7002,300,0
RC09-225,54.983,-15.4,1.35,symbiont-facultative,non-spinose,-9336,400,0
RC09-225,54.983,-15.4,1.35,symbiont-obligate,spinose,-16338,700,0
RC09-225,54.983,-15.4,1.35,undetermined,non-spinose,-2334,100,0
RC09-49,11.184,-58.585,0.7,symbiont-barren,non-spinose,-12957,697.9000000000002,0.185
RC09-49,11.184,-58.585,0.7,symbiont-barren,spinose,-5553,299.1,0.047999999999999994
RC09-49,11.184,-58.585,0.7,symbiont-bearing,spinose,-5553,299.1,0.039
RC09-49,11.184,-58.585,0.7,symbiont-facultative,non-spinose,-7404,398.80000000000007,0.036000000000000004
RC09-49,11.184,-58.585,0.7,symbiont-obligate,spinose,-12957,697.9000000000002,0.6890000000000001
RC09-49,11.184,-58.585,0.7,undetermined,non-spinose,-1851,99.70000000000002,0
RC09-49,11.184,-58.585,0.85,symbiont-barren,non-spinose,-12957,699.3000000000001,0.19700000000000004
RC09-49,11.184,-58.585,0.85,symbiont-barren,spinose,-5553,299.70000000000005,0.078
RC09-49,11.184,-58.585,0.85,symbiont-bearing,spinose,-5553,299.70000000000005,0.041
RC09-49,11.184,-58.585,0.85,symbiont-facultative,non-spinose,-7404,399.6000000000001,0.055
RC09-49,11.184,-58.585,0.85,symbiont-obligate,spinose,-12957,699.3000000000001,0.628
RC09-49,11.184,-58.585,0.85,undetermined,non-spinose,-1851,99.90000000000002,0
RC10-114,-11.18,-162.9,0.2,symbiont-barren,non-spinose,-19537,699.3000000000001,0.342
RC10-114,-11.18,-162.9,0.2,symbiont-barren,spinose,-8373,299.70000000000005,0.01
RC10-114,-11.18,-162.9,0.2,symbiont-bearing,spinose,-8373,299.70000000000005,0.067
RC10-114,-11.18,-162.9,0.2,symbiont-facultative,non-spinose,-11164,399.6000000000001,0.011000000000000001
RC10-114,-11.18,-162.9,0.2,symbiont-obligate,spinose,-19537,699.3000000000001,0.5690000000000001
RC10-114,-11.18,-162.9,0.2,undetermined,non-spinose,-2791,99.90000000000002,0
RC10-161,33.083,158,0.09,symbiont-barren,non-spinose,-25109,698.5999999999999,0.20400000000000001
RC10-161,33.083,158,0.09,symbiont-barren,spinose,-10761,299.4,0.12000000000000001
RC10-161,33.083,158,0.09,symbiont-bearing,spinose,-10761,299.4,0
RC10-161,33.083,158,0.09,symbiont-facultative,non-spinose,-14348,399.2,0.621
RC10-161,33.083,158,0.09,symbiont-obligate,spinose,-25109,698.5999999999999,0.053000000000000005
RC10-161,33.083,158,0.09,undetermined,non-spinose,-3587,99.8,0
RC10-50,11.767,-81.1,1,symbiont-barren,non-spinose,-14504,699.3,0.20700000000000002
RC10-50,11.767,-81.1,1,symbiont-barren,spinose,-6216,299.7,0.006
RC10-50,11.767,-81.1,1,symbiont-bearing,spinose,-6216,299.7,0.019
RC10-50,11.767,-81.1,1,symbiont-facultative,non-spinose,-8288,399.59999999999997,0.071
RC10-50,11.767,-81.1,1,symbiont-obligate,spinose,-14504,699.3,0.696
RC10-50,11.767,-81.1,1,undetermined,non-spinose,-2072,99.89999999999999,0
RC10-62,3.333,-101.7,0.51,symbiont-barren,non-spinose,-21840,699.3,0.15
RC10-62,3.333,-101.7,0.51,symbiont-barren,spinose,-9360,299.7,0.053
RC10-62,3.333,-101.7,0.51,symbiont-bearing,spinose,-9360,299.7,0.016
RC10-62,3.333,-101.7,0.51,symbiont-facultative,non-spinose,-12480,399.59999999999997,0.6250000000000001
RC10-62,3.333,-101.7,0.51,symbiont-obligate,spinose,-21840,699.3,0.155
RC10-62,3.333,-101.7,0.51,undetermined,non-spinose,-3120,99.89999999999999,0
RC10-97,-0.917,-134.3,0.44,symbiont-barren,non-spinose,-30135,700.7,0.23199999999999998
RC10-97,-0.917,-134.3,0.44,symbiont-barren,spinose,-12915,300.3,0.04
RC10-97,-0.917,-134.3,0.44,symbiont-bearing,spinose,-12915,300.3,0
RC10-97,-0.917,-134.3,0.44,symbiont-facultative,non-spinose,-17220,400.40000000000003,0.646
RC10-97,-0.917,-134.3,0.44,symbiont-obligate,spinose,-30135,700.7,0.053000000000000005
RC10-97,-0.917,-134.3,0.44,undetermined,non-spinose,-4305,100.10000000000001,0.03
RC11-120,-43.52,79.867,0.84,symbiont-barren,non-spinose,-22351,700,0.669
RC11-120,-43.52,79.867,0.84,symbiont-barren,spinose,-9579,300,0.28800000000000003
RC11-120,-43.52,79.867,0.84,symbiont-bearing,spinose,-9579,300,0
RC11-120,-43.52,79.867,0.84,symbiont-facultative,non-spinose,-12772,400,0.043000000000000003
RC11-120,-43.52,79.867,0.84,symbiont-obligate,spinose,-22351,700,0
RC11-120,-43.52,79.867,0.84,undetermined,non-spinose,-3193,100,0
RC11-121,-39.72,82.25,0.4,symbiont-barren,non-spinose,-23982,699.9999999999999,0.309
RC11-121,-39.72,82.25,0.4,symbiont-barren,spinose,-10278,299.99999999999994,0.41200000000000003
RC11-121,-39.72,82.25,0.4,symbiont-bearing,spinose,-10278,299.99999999999994,0
RC11-121,-39.72,82.25,0.4,symbiont-facultative,non-spinose,-13704,399.99999999999994,0.14900000000000002
RC11-121,-39.72,82.25,0.4,symbiont-obligate,spinose,-23982,699.9999999999999,0.13
RC11-121,-39.72,82.25,0.4,undetermined,non-spinose,-3426,99.99999999999999,0
RC11-145,-25.48,110.02,0.5,symbiont-barren,non-spinose,-27083,699.3,0.165
RC11-145,-25.48,110.02,0.5,symbiont-barren,spinose,-11607,299.70000000000005,0.09600000000000002
RC11-145,-25.48,110.02,0.5,symbiont-bearing,spinose,-11607,299.70000000000005,0.030000000000000002
RC11-145,-25.48,110.02,0.5,symbiont-facultative,non-spinose,-15476,399.6,0.52
RC11-145,-25.48,110.02,0.5,symbiont-obligate,spinose,-27083,699.3,0.188
RC11-145,-25.48,110.02,0.5,undetermined,non-spinose,-3869,99.9,0
RC11-147,-19.07,112.75,0.5,symbiont-barren,non-spinose,-13671,700.6999999999999,0.267
RC11-147,-19.07,112.75,0.5,symbiont-barren,spinose,-5859,300.29999999999995,0.039
RC11-147,-19.07,112.75,0.5,symbiont-bearing,spinose,-5859,300.29999999999995,0.08499999999999999
RC11-147,-19.07,112.75,0.5,symbiont-facultative,non-spinose,-7812,400.3999999999999,0.188
RC11-147,-19.07,112.75,0.5,symbiont-obligate,spinose,-13671,700.6999999999999,0.42200000000000004
RC11-147,-19.07,112.75,0.5,undetermined,non-spinose,-1953,100.09999999999998,0
RC11-21,-17.27,-35.97,0.3,symbiont-barren,non-spinose,-28147,700.6999999999999,0.16999999999999998
RC11-21,-17.27,-35.97,0.3,symbiont-barren,spinose,-12063,300.29999999999995,0.008
RC11-21,-17.27,-35.97,0.3,symbiont-bearing,spinose,-12063,300.29999999999995,0.03
RC11-21,-17.27,-35.97,0.3,symbiont-facultative,non-spinose,-16084,400.3999999999999,0.013999999999999999
RC11-21,-17.27,-35.97,0.3,symbiont-obligate,spinose,-28147,700.6999999999999,0.7790000000000001
RC11-21,-17.27,-35.97,0.3,undetermined,non-spinose,-4021,100.09999999999998,0
RC11-210,1.817,-140.1,0.4,symbiont-barren,non-spinose,-30940,700,0.28099999999999997
RC11-210,1.817,-140.1,0.4,symbiont-barren,spinose,-13260,300,0.051
RC11-210,1.817,-140.1,0.4,symbiont-bearing,spinose,-13260,300,0.02
RC11-210,1.817,-140.1,0.4,symbiont-facultative,non-spinose,-17680,400,0.531
RC11-210,1.817,-140.1,0.4,symbiont-obligate,spinose,-30940,700,0.097
RC11-210,1.817,-140.1,0.4,undetermined,non-spinose,-4420,100,0.02
RC11-213,-6.133,-140.9,0.15,symbiont-barren,non-spinose,-30401,700.7,0.27
RC11-213,-6.133,-140.9,0.15,symbiont-barren,spinose,-13029,300.29999999999995,0.094
RC11-213,-6.133,-140.9,0.15,symbiont-bearing,spinose,-13029,300.29999999999995,0.07100000000000001
RC11-213,-6.133,-140.9,0.15,symbiont-facultative,non-spinose,-17372,400.4,0.17400000000000002
RC11-213,-6.133,-140.9,0.15,symbiont-obligate,spinose,-30401,700.7,0.31200000000000006
RC11-213,-6.133,-140.9,0.15,undetermined,non-spinose,-4343,100.1,0.08
RC11-220,-14.82,-140,0.3,symbiont-barren,non-spinose,-20650,700.7,0.303
RC11-220,-14.82,-140,0.3,symbiont-barren,spinose,-8850,300.29999999999995,0.018000000000000002
RC11-220,-14.82,-140,0.3,symbiont-bearing,spinose,-8850,300.29999999999995,0.098
RC11-220,-14.82,-140,0.3,symbiont-facultative,non-spinose,-11800,400.4,0.004
RC11-220,-14.82,-140,0.3,symbiont-obligate,spinose,-20650,700.7,0.5740000000000001
RC11-220,-14.82,-140,0.3,undetermined,non-spinose,-2950,100.1,0.004
RC11-230,-8.8,-110.8,0.45,symbiont-barren,non-spinose,-22813,701.4000000000001,0.4010000000000001
RC11-230,-8.8,-110.8,0.45,symbiont-barren,spinose,-9777,300.6,0.084
RC11-230,-8.8,-110.8,0.45,symbiont-bearing,spinose,-9777,300.6,0.007
RC11-230,-8.8,-110.8,0.45,symbiont-facultative,non-spinose,-13036,400.8,0.201
RC11-230,-8.8,-110.8,0.45,symbiont-obligate,spinose,-22813,701.4000000000001,0.274
RC11-230,-8.8,-110.8,0.45,undetermined,non-spinose,-3259,100.2,0.035
RC11-26,-28.58,-30.07,0.3,symbiont-barren,non-spinose,-16443,697.9000000000002,0.20199999999999999
RC11-26,-28.58,-30.07,0.3,symbiont-barren,spinose,-7047,299.1,0.037000000000000005
RC11-26,-28.58,-30.07,0.3,symbiont-bearing,spinose,-7047,299.1,0.035
RC11-26,-28.58,-30.07,0.3,symbiont-facultative,non-spinose,-9396,398.80000000000007,0.124
RC11-26,-28.58,-30.07,0.3,symbiont-obligate,spinose,-16443,697.9000000000002,0.5990000000000001
RC11-26,-28.58,-30.07,0.3,undetermined,non-spinose,-2349,99.70000000000002,0
RC11-86,-35.78,18.45,0.4,symbiont-barren,non-spinose,-19803,700,0.39099999999999996
RC11-86,-35.78,18.45,0.4,symbiont-barren,spinose,-8487,300,0.127
RC11-86,-35.78,18.45,0.4,symbiont-bearing,spinose,-8487,300,0
RC11-86,-35.78,18.45,0.4,symbiont-facultative,non-spinose,-11316,400,0.394
RC11-86,-35.78,18.45,0.4,symbiont-obligate,spinose,-19803,700,0.07100000000000001
RC11-86,-35.78,18.45,0.4,undetermined,non-spinose,-2829,100,0.017
RC11-86,-35.78,18.45,0.45,symbiont-barren,non-spinose,-19803,697.9000000000002,0.361
RC11-86,-35.78,18.45,0.45,symbiont-barren,spinose,-8487,299.1,0.084
RC11-86,-35.78,18.45,0.45,symbiont-bearing,spinose,-8487,299.1,0.005
RC11-86,-35.78,18.45,0.45,symbiont-facultative,non-spinose,-11316,398.80000000000007,0.44799999999999995
RC11-86,-35.78,18.45,0.45,symbiont-obligate,spinose,-19803,697.9000000000002,0.099
RC11-86,-35.78,18.45,0.45,undetermined,non-spinose,-2829,99.70000000000002,0
RC12-107,-26,169.2,0.4,symbiont-barren,non-spinose,-21805,700.0000000000001,0.20299999999999999
RC12-107,-26,169.2,0.4,symbiont-barren,spinose,-9345,300.00000000000006,0.08600000000000001
RC12-107,-26,169.2,0.4,symbiont-bearing,spinose,-9345,300.00000000000006,0.008
RC12-107,-26,169.2,0.4,symbiont-facultative,non-spinose,-12460,400.00000000000006,0.183
RC12-107,-26,169.2,0.4,symbiont-obligate,spinose,-21805,700.0000000000001,0.52
RC12-107,-26,169.2,0.4,undetermined,non-spinose,-3115,100.00000000000001,0
RC12-234,-55.15,-64,0.7,symbiont-barren,non-spinose,-14189,700.6999999999999,0.8949999999999999
RC12-234,-55.15,-64,0.7,symbiont-barren,spinose,-6081,300.29999999999995,0.092
RC12-234,-55.15,-64,0.7,symbiont-bearing,spinose,-6081,300.29999999999995,0
RC12-234,-55.15,-64,0.7,symbiont-facultative,non-spinose,-8108,400.3999999999999,0.014000000000000002
RC12-234,-55.15,-64,0.7,symbiont-obligate,spinose,-14189,700.6999999999999,0
RC12-234,-55.15,-64,0.7,undetermined,non-spinose,-2027,100.09999999999998,0
RC12-241,-43.47,-57.67,0.7,symbiont-barren,non-spinose,-24493,699.3,0.349
RC12-241,-43.47,-57.67,0.7,symbiont-barren,spinose,-10497,299.7,0.33999999999999997
RC12-241,-43.47,-57.67,0.7,symbiont-bearing,spinose,-10497,299.7,0
RC12-241,-43.47,-57.67,0.7,symbiont-facultative,non-spinose,-13996,399.59999999999997,0.31
RC12-241,-43.47,-57.67,0.7,symbiont-obligate,spinose,-24493,699.3,0
RC12-241,-43.47,-57.67,0.7,undetermined,non-spinose,-3499,99.89999999999999,0
RC12-291,-42.58,-17.8,0.8,symbiont-barren,non-spinose,-24556,700,0.449
RC12-291,-42.58,-17.8,0.8,symbiont-barren,spinose,-10524,300,0.236
RC12-291,-42.58,-17.8,0.8,symbiont-bearing,spinose,-10524,300,0
RC12-291,-42.58,-17.8,0.8,symbiont-facultative,non-spinose,-14032,400,0.309
RC12-291,-42.58,-17.8,0.8,symbiont-obligate,spinose,-24556,700,0.006
RC12-291,-42.58,-17.8,0.8,undetermined,non-spinose,-3508,100,0
RC12-294,-37.27,-10.1,0.4,symbiont-barren,non-spinose,-23156,701.3999999999999,0.35200000000000004
RC12-294,-37.27,-10.1,0.4,symbiont-barren,spinose,-9924,300.59999999999997,0.45199999999999996
RC12-294,-37.27,-10.1,0.4,symbiont-bearing,spinose,-9924,300.59999999999997,0
RC12-294,-37.27,-10.1,0.4,symbiont-facultative,non-spinose,-13232,400.79999999999995,0.182
RC12-294,-37.27,-10.1,0.4,symbiont-obligate,spinose,-23156,701.3999999999999,0.016
RC12-294,-37.27,-10.1,0.4,undetermined,non-spinose,-3308,100.19999999999999,0
RC12-328,-3.95,60.6,0.3,symbiont-barren,non-spinose,-21609,698.5999999999999,0.195
RC12-328,-3.95,60.6,0.3,symbiont-barren,spinose,-9261,299.4,0.07
RC12-328,-3.95,60.6,0.3,symbiont-bearing,spinose,-9261,299.4,0.03
RC12-328,-3.95,60.6,0.3,symbiont-facultative,non-spinose,-12348,399.2,0.202
RC12-328,-3.95,60.6,0.3,symbiont-obligate,spinose,-21609,698.5999999999999,0.495
RC12-328,-3.95,60.6,0.3,undetermined,non-spinose,-3087,99.8,0.006
RC12-339,9.133,90.033,0.8,symbiont-barren,non-spinose,-21070,699.9999999999999,0.196
RC12-339,9.133,90.033,0.8,symbiont-barren,spinose,-9030,299.99999999999994,0.166
RC12-339,9.133,90.033,0.8,symbiont-bearing,spinose,-9030,299.99999999999994,0.046
RC12-339,9.133,90.033,0.8,symbiont-facultative,non-spinose,-12040,399.99999999999994,0.32899999999999996
RC12-339,9.133,90.033,0.8,symbiont-obligate,spinose,-21070,699.9999999999999,0.255
RC12-339,9.133,90.033,0.8,undetermined,non-spinose,-3010,99.99999999999999,0.008
RC12-340,12.7,90.017,0.7,symbiont-barren,non-spinose,-21084,699.3,0.23099999999999998
RC12-340,12.7,90.017,0.7,symbiont-barren,spinose,-9036,299.70000000000005,0.022000000000000002
RC12-340,12.7,90.017,0.7,symbiont-bearing,spinose,-9036,299.70000000000005,0.098
RC12-340,12.7,90.017,0.7,symbiont-facultative,non-spinose,-12048,399.6,0.23700000000000002
RC12-340,12.7,90.017,0.7,symbiont-obligate,spinose,-21084,699.3,0.401
RC12-340,12.7,90.017,0.7,undetermined,non-spinose,-3012,99.9,0.01
RC12-341,13.05,89.583,0.6,symbiont-barren,non-spinose,-20916,699.9999999999999,0.31600000000000006
RC12-341,13.05,89.583,0.6,symbiont-barren,spinose,-8964,299.99999999999994,0.032
RC12-341,13.05,89.583,0.6,symbiont-bearing,spinose,-8964,299.99999999999994,0.14500000000000002
RC12-341,13.05,89.583,0.6,symbiont-facultative,non-spinose,-11952,399.99999999999994,0.16699999999999998
RC12-341,13.05,89.583,0.6,symbiont-obligate,spinose,-20916,699.9999999999999,0.32300000000000006
RC12-341,13.05,89.583,0.6,undetermined,non-spinose,-2988,99.99999999999999,0.017
RC12-343,15.167,90.567,0.6,symbiont-barren,non-spinose,-18662,700,0.36100000000000004
RC12-343,15.167,90.567,0.6,symbiont-barren,spinose,-7998,300,0.033
RC12-343,15.167,90.567,0.6,symbiont-bearing,spinose,-7998,300,0.08499999999999999
RC12-343,15.167,90.567,0.6,symbiont-facultative,non-spinose,-10664,400,0.16399999999999998
RC12-343,15.167,90.567,0.6,symbiont-obligate,spinose,-18662,700,0.35100000000000003
RC12-343,15.167,90.567,0.6,undetermined,non-spinose,-2666,100,0.006
RC12-344,12.767,96.067,2.9,symbiont-barren,non-spinose,-14980,701.3999999999999,0.067
RC12-344,12.767,96.067,2.9,symbiont-barren,spinose,-6420,300.59999999999997,0.063
RC12-344,12.767,96.067,2.9,symbiont-bearing,spinose,-6420,300.59999999999997,0.078
RC12-344,12.767,96.067,2.9,symbiont-facultative,non-spinose,-8560,400.79999999999995,0.15100000000000002
RC12-344,12.767,96.067,2.9,symbiont-obligate,spinose,-14980,701.3999999999999,0.6220000000000001
RC12-344,12.767,96.067,2.9,undetermined,non-spinose,-2140,100.19999999999999,0.021
RC12-361,15.1,124.13,0.2,symbiont-barren,non-spinose,-24696,697.8999999999999,0.07500000000000001
RC12-361,15.1,124.13,0.2,symbiont-barren,spinose,-10584,299.09999999999997,0.06
RC12-361,15.1,124.13,0.2,symbiont-bearing,spinose,-10584,299.09999999999997,0.05
RC12-361,15.1,124.13,0.2,symbiont-facultative,non-spinose,-14112,398.79999999999995,0.036000000000000004
RC12-361,15.1,124.13,0.2,symbiont-obligate,spinose,-24696,697.8999999999999,0.776
RC12-361,15.1,124.13,0.2,undetermined,non-spinose,-3528,99.69999999999999,0
RC13-110,-0.097,-95.65,0.54,symbiont-barren,non-spinose,-22617,700.7,0.09000000000000001
RC13-110,-0.097,-95.65,0.54,symbiont-barren,spinose,-9693,300.3,0.10200000000000001
RC13-110,-0.097,-95.65,0.54,symbiont-bearing,spinose,-9693,300.3,0
RC13-110,-0.097,-95.65,0.54,symbiont-facultative,non-spinose,-12924,400.40000000000003,0.76
RC13-110,-0.097,-95.65,0.54,symbiont-obligate,spinose,-22617,700.7,0.04900000000000001
RC13-110,-0.097,-95.65,0.54,undetermined,non-spinose,-3231,100.10000000000001,0
RC13-113,-1.652,-103.6,0.5,symbiont-barren,non-spinose,-22365,701.4000000000001,0.428
RC13-113,-1.652,-103.6,0.5,symbiont-barren,spinose,-9585,300.6,0.057999999999999996
RC13-113,-1.652,-103.6,0.5,symbiont-bearing,spinose,-9585,300.6,0.002
RC13-113,-1.652,-103.6,0.5,symbiont-facultative,non-spinose,-12780,400.8,0.463
RC13-113,-1.652,-103.6,0.5,symbiont-obligate,spinose,-22365,701.4000000000001,0.047
RC13-113,-1.652,-103.6,0.5,undetermined,non-spinose,-3195,100.2,0.004
RC13-115,-1.652,-104.8,0.61,symbiont-barren,non-spinose,-25347,700.7,0.105
RC13-115,-1.652,-104.8,0.61,symbiont-barren,spinose,-10863,300.3,0.08800000000000001
RC13-115,-1.652,-104.8,0.61,symbiont-bearing,spinose,-10863,300.3,0
RC13-115,-1.652,-104.8,0.61,symbiont-facultative,non-spinose,-14484,400.40000000000003,0.706
RC13-115,-1.652,-104.8,0.61,symbiont-obligate,spinose,-25347,700.7,0.09499999999999999
RC13-115,-1.652,-104.8,0.61,undetermined,non-spinose,-3621,100.10000000000001,0.006999999999999999
RC13-151,15.857,-74.79,0.6,symbiont-barren,non-spinose,-19544,701.3999999999999,0.162
RC13-151,15.857,-74.79,0.6,symbiont-barren,spinose,-8376,300.59999999999997,0.018000000000000002
RC13-151,15.857,-74.79,0.6,symbiont-bearing,spinose,-8376,300.59999999999997,0.024
RC13-151,15.857,-74.79,0.6,symbiont-facultative,non-spinose,-11168,400.79999999999995,0.15600000000000003
RC13-151,15.857,-74.79,0.6,symbiont-obligate,spinose,-19544,701.3999999999999,0.642
RC13-151,15.857,-74.79,0.6,undetermined,non-spinose,-2792,100.19999999999999,0
RC13-152,16.708,-75.44,0.6,symbiont-barren,non-spinose,-14189,699.3,0.12100000000000001
RC13-152,16.708,-75.44,0.6,symbiont-barren,spinose,-6081,299.70000000000005,0.01
RC13-152,16.708,-75.44,0.6,symbiont-bearing,spinose,-6081,299.70000000000005,0.02
RC13-152,16.708,-75.44,0.6,symbiont-facultative,non-spinose,-8108,399.6,0.06
RC13-152,16.708,-75.44,0.6,symbiont-obligate,spinose,-14189,699.3,0.788
RC13-152,16.708,-75.44,0.6,undetermined,non-spinose,-2027,99.9,0
RC13-153,15.065,-75.95,0.6,symbiont-barren,non-spinose,-23338,698.5999999999998,0.20299999999999999
RC13-153,15.065,-75.95,0.6,symbiont-barren,spinose,-10002,299.4,0.019
RC13-153,15.065,-75.95,0.6,symbiont-bearing,spinose,-10002,299.4,0.038
RC13-153,15.065,-75.95,0.6,symbiont-facultative,non-spinose,-13336,399.19999999999993,0.098
RC13-153,15.065,-75.95,0.6,symbiont-obligate,spinose,-23338,698.5999999999998,0.6399999999999999
RC13-153,15.065,-75.95,0.6,undetermined,non-spinose,-3334,99.79999999999998,0
RC13-158,13.178,-79.83,0.8,symbiont-barren,non-spinose,-21112,701.4000000000001,0.164
RC13-158,13.178,-79.83,0.8,symbiont-barren,spinose,-9048,300.6,0.017
RC13-158,13.178,-79.83,0.8,symbiont-bearing,spinose,-9048,300.6,0.06
RC13-158,13.178,-79.83,0.8,symbiont-facultative,non-spinose,-12064,400.8,0.093
RC13-158,13.178,-79.83,0.8,symbiont-obligate,spinose,-21112,701.4000000000001,0.6680000000000001
RC13-158,13.178,-79.83,0.8,undetermined,non-spinose,-3016,100.2,0
RC13-159,14.695,-77.17,0.83,symbiont-barren,non-spinose,-28189,700.6999999999999,0.16
RC13-159,14.695,-77.17,0.83,symbiont-barren,spinose,-12081,300.29999999999995,0.013000000000000001
RC13-159,14.695,-77.17,0.83,symbiont-bearing,spinose,-12081,300.29999999999995,0.038000000000000006
RC13-159,14.695,-77.17,0.83,symbiont-facultative,non-spinose,-16108,400.3999999999999,0.129
RC13-159,14.695,-77.17,0.83,symbiont-obligate,spinose,-28189,700.6999999999999,0.6609999999999999
RC13-159,14.695,-77.17,0.83,undetermined,non-spinose,-4027,100.09999999999998,0
RC13-17,19.087,-170.1,0.3,symbiont-barren,non-spinose,-23618,697.1999999999999,0.133
RC13-17,19.087,-170.1,0.3,symbiont-barren,spinose,-10122,298.79999999999995,0.056999999999999995
RC13-17,19.087,-170.1,0.3,symbiont-bearing,spinose,-10122,298.79999999999995,0.256
RC13-17,19.087,-170.1,0.3,symbiont-facultative,non-spinose,-13496,398.3999999999999,0.076
RC13-17,19.087,-170.1,0.3,symbiont-obligate,spinose,-23618,697.1999999999999,0.468
RC13-17,19.087,-170.1,0.3,undetermined,non-spinose,-3374,99.59999999999998,0.006
RC13-184,3.86,-43.31,0.55,symbiont-barren,non-spinose,-24122,699.3,0.18
RC13-184,3.86,-43.31,0.55,symbiont-barren,spinose,-10338,299.7,0.003
RC13-184,3.86,-43.31,0.55,symbiont-bearing,spinose,-10338,299.7,0
RC13-184,3.86,-43.31,0.55,symbiont-facultative,non-spinose,-13784,399.59999999999997,0.07300000000000001
